"guideline","category","title","publication_date","extension","url","title_clean","publication_date_clean","extension_clean","filename","folder","full_path","downloaded","download_status","error"
"CG122","Surveillance consultation","Comments form","01 December 2015","docx","https://www.nice.org.uk/guidance/cg122/documents/comments-form","Comments_form","01_December_2015","docx","Comments_form_01_December_2015.docx","D:/NICE_history/CG122","D:/NICE_history/CG122/Comments_form_01_December_2015.docx",TRUE,"downloaded",
"CG122","Surveillance consultation","Surveillance review proposal","01 December 2015","pdf","https://www.nice.org.uk/guidance/cg122/documents/surveillance-review-proposal","Surveillance_review_proposal","01_December_2015","pdf","Surveillance_review_proposal_01_December_2015.pdf","D:/NICE_history/CG122","D:/NICE_history/CG122/Surveillance_review_proposal_01_December_2015.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","Acute upper GI bleeding: GDG membership list","04 June 2010","pdf","https://www.nice.org.uk/guidance/cg141/documents/acute-upper-gi-bleeding-gdg-membership-list2","Acute_upper_GI_bleeding_GDG_membership_list","04_June_2010","pdf","Acute_upper_GI_bleeding_GDG_membership_list_04_June_2010.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Acute_upper_GI_bleeding_GDG_membership_list_04_June_2010.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","GDG minutes: 10 December 2010","09 June 2011","pdf","https://www.nice.org.uk/guidance/cg141/documents/gdg-minutes-10-december-20102","GDG_minutes_10_December_2010","09_June_2011","pdf","GDG_minutes_10_December_2010_09_June_2011.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/GDG_minutes_10_December_2010_09_June_2011.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","GDG minutes: 11 March 2011","09 June 2011","pdf","https://www.nice.org.uk/guidance/cg141/documents/gdg-minutes-11-march-20112","GDG_minutes_11_March_2011","09_June_2011","pdf","GDG_minutes_11_March_2011_09_June_2011.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/GDG_minutes_11_March_2011_09_June_2011.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","GDG minutes: 15 April 2011","09 June 2011","pdf","https://www.nice.org.uk/guidance/cg141/documents/gdg-minutes-15-april-20112","GDG_minutes_15_April_2011","09_June_2011","pdf","GDG_minutes_15_April_2011_09_June_2011.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/GDG_minutes_15_April_2011_09_June_2011.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","GDG minutes: 28 January 2011","09 June 2011","pdf","https://www.nice.org.uk/guidance/cg141/documents/gdg-minutes-28-january-20112","GDG_minutes_28_January_2011","09_June_2011","pdf","GDG_minutes_28_January_2011_09_June_2011.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/GDG_minutes_28_January_2011_09_June_2011.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","GDG minutes: 24 September 2010","09 November 2010","pdf","https://www.nice.org.uk/guidance/cg141/documents/gdg-minutes-24-september-20102","GDG_minutes_24_September_2010","09_November_2010","pdf","GDG_minutes_24_September_2010_09_November_2010.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/GDG_minutes_24_September_2010_09_November_2010.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","Acute upper GI bleeding: NICE guideline","13 December 2011","pdf","https://www.nice.org.uk/guidance/cg141/documents/acute-upper-gi-bleeding-nice-guideline2","Acute_upper_GI_bleeding_NICE_guideline","13_December_2011","pdf","Acute_upper_GI_bleeding_NICE_guideline_13_December_2011.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Acute_upper_GI_bleeding_NICE_guideline_13_December_2011.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: guideline development and consultation","Acute upper GI bleeding: appendices","13 December 2011","pdf","https://www.nice.org.uk/guidance/cg141/documents/acute-upper-gi-bleeding-appendices2","Acute_upper_GI_bleeding_appendices","13_December_2011","pdf","Acute_upper_GI_bleeding_appendices_13_December_2011.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Acute_upper_GI_bleeding_appendices_13_December_2011.pdf",TRUE,"downloaded",
